repository,created_at,stars,forks,language,age_years
JuliaLang_julia,2011-04-21T07:01:50Z,47444,5614,Julia,14.19
angular_angular,2014-09-18T16:12:01Z,98455,26495,TypeScript,10.78
ant-design_ant-design,2015-04-24T15:37:24Z,95616,53235,TypeScript,10.18
bitcoin_bitcoin,2010-12-19T15:16:43Z,84995,37628,C++,14.53
denoland_deno,2018-05-15T01:34:26Z,103846,5683,Rust,7.13
electron_electron,2013-04-12T01:47:36Z,117846,16295,C++,12.22
excalidraw_excalidraw,2020-01-02T01:04:43Z,105239,10532,TypeScript,5.49
facebook_react,2013-05-24T16:15:54Z,237926,49072,JavaScript,12.1
fastapi_fastapi,2018-12-08T08:21:47Z,88265,7720,Python,6.56
flutter_flutter,2015-03-06T22:54:58Z,171724,28951,Dart,10.32
godotengine_godot,2014-01-04T16:05:36Z,99810,22969,C++,11.49
huggingface_transformers,2018-10-29T13:56:00Z,148026,29939,Python,6.67
kubernetes_kubernetes,2014-06-06T22:56:04Z,116831,41116,Go,11.07
microsoft_PowerToys,2019-05-01T17:44:02Z,122074,7278,C#,6.17
microsoft_TypeScript,2014-06-17T15:28:39Z,105585,12957,TypeScript,11.04
microsoft_terminal,2017-08-11T18:38:22Z,99163,8686,C++,7.89
microsoft_vscode,2015-09-03T20:23:38Z,175444,34198,TypeScript,9.82
mui_material-ui,2014-08-18T19:11:54Z,96351,32616,TypeScript,10.87
nodejs_node,2014-11-26T19:57:11Z,112583,32506,JavaScript,10.59
ohmyzsh_ohmyzsh,2009-08-28T18:15:37Z,180529,26162,Shell,15.84
puppeteer_puppeteer,2017-05-09T22:16:13Z,91707,9259,TypeScript,8.14
pytorch_pytorch,2016-08-13T05:26:41Z,92293,24923,Python,8.88
rust-lang_rust,2010-06-16T20:39:03Z,105575,13623,Rust,15.04
storybookjs_storybook,2016-03-18T04:23:44Z,87486,9646,TypeScript,9.28
supabase_supabase,2019-10-12T05:56:49Z,86951,9480,TypeScript,5.72
sveltejs_svelte,2016-11-20T18:13:05Z,83712,4590,JavaScript,8.61
tauri-apps_tauri,2019-07-13T09:09:37Z,95442,3018,Rust,5.97
tensorflow_tensorflow,2015-11-07T01:19:20Z,191095,74764,C++,9.65
vercel_next.js,2016-10-05T23:32:51Z,133660,29010,JavaScript,8.73
yt-dlp_yt-dlp,2020-10-26T04:22:55Z,122104,9711,Python,4.68
