month,gfi_count,total_count,gfi_ratio,gfi_ratio_ma3,gfi_ratio_ma6
2021-07,45,8462,0.5317891751359016,0.5317891751359016,0.5317891751359016
2021-08,85,8304,1.0236030828516378,0.7776961289937697,0.7776961289937697
2021-09,83,8644,0.960203609440074,0.8385319558092045,0.8385319558092045
2021-10,88,8630,1.0196987253765932,1.0011684725561016,0.8838236482010516
2021-11,75,8587,0.8734132991731687,0.9511052113299453,0.8817415783954751
2021-12,80,8063,0.9921865310678407,0.9617661852058675,0.900149070507536
2022-01,71,8278,0.8576950954336797,0.9077649752248963,0.954466723890499
2022-02,75,8533,0.8789405836165476,0.9096074033726893,0.9303563073513174
2022-03,86,9416,0.913338997451147,0.8833248921671247,0.9225455386864961
2022-04,91,8042,1.131559313603581,0.9746129648904253,0.9411889700576609
2022-05,78,8628,0.9040333796940195,0.9829772302495825,0.946292316811136
2022-06,75,8356,0.897558640497846,0.9777171112651488,0.9305210017161368
2022-07,66,8605,0.7669959325973271,0.8561959842630641,0.9154044745767447
2022-08,71,8951,0.7932074628533126,0.8192540119828285,0.9011156211162055
2022-09,81,8815,0.9188882586500283,0.8263638847002227,0.9020404979826857
2022-10,90,8710,1.0332950631458095,0.9151302615497169,0.8856631229063904
2022-11,66,8995,0.7337409672040022,0.89530809633328,0.8572810541580541
2022-12,67,8092,0.8279782501235788,0.8650047601577967,0.8456843224290097
2023-01,64,9108,0.7026789635485288,0.7547993936253699,0.8349648275875433
2023-02,76,9209,0.8252796177652297,0.7853122771457791,0.8403101867395296
2023-03,102,10341,0.9863649550333623,0.8381078454490404,0.8515563028034187
2023-04,82,8577,0.9560452372624462,0.922563270020346,0.838681331822858
2023-05,68,9812,0.6930289441500204,0.8784797121486095,0.8318959946471943
2023-06,100,8661,1.1546010853250201,0.934558422245829,0.8863331338474345
2023-07,57,8565,0.6654991243432574,0.8377097179394327,0.8801364939798892
2023-08,82,8814,0.9303380984796914,0.9168127693826564,0.897646240765633
2023-09,108,8732,1.2368300503893723,0.944222424404107,0.9393904233249679
2023-10,81,8880,0.9121621621621622,1.0264434370104085,0.9320765774749207
2023-11,121,8928,1.3552867383512543,1.1680929836342628,1.0424528765084597
2023-12,68,7353,0.9247926016591866,1.0640805007242011,1.004151462564154
2024-01,75,8112,0.9245562130177515,1.0682118510093976,1.047327644009903
2024-02,61,8267,0.7378734728438369,0.8624074291735916,1.0152502064039273
2024-03,66,8564,0.7706679121905652,0.8110325326840512,0.9375565167041261
2024-04,60,8340,0.7194244604316548,0.742655281822019,0.9054335664157082
2024-05,50,8371,0.597300203082069,0.695797525234763,0.7791024772041774
2024-06,56,7534,0.7432970533581099,0.6866739056239446,0.7488532191539979
2024-07,61,8134,0.749938529628719,0.696845262022966,0.7197502719224924
2024-08,63,8431,0.7472423200094889,0.7468259676654393,0.7213117464501012
2024-09,57,8303,0.6864988558352403,0.7278932351578161,0.7072835703908803
2024-10,61,8553,0.7132000467672162,0.7156470742039818,0.7062461681134738
2024-11,43,8049,0.5342278543918499,0.6446422523314355,0.6957341099984373
2024-12,28,7351,0.38090055774724524,0.5427761529687705,0.6353346940632932
2025-01,40,7962,0.5023863350916855,0.4725049157435936,0.5940759949737876
2025-02,24,8250,0.2909090909090909,0.3913986612493406,0.518020456790388
2025-03,50,8541,0.5854115443156539,0.45956899010547675,0.5011725715371236
2025-04,43,8012,0.5366949575636546,0.47100519759613313,0.4717550566698634
2025-05,44,7507,0.586119621686426,0.5694087078552448,0.4804036845522927
2025-06,36,7454,0.4829621679635095,0.5352589157378633,0.4974139529216701
