month,gfi_created,gfi_with_pr,engagement_ratio,engagement_ratio_ma3,engagement_ratio_ma6
2021-07,45,11,24.444444444444443,24.444444444444443,24.444444444444443
2021-08,85,22,25.882352941176475,25.16339869281046,25.16339869281046
2021-09,83,20,24.096385542168676,24.807727642596532,24.807727642596532
2021-10,88,25,28.40909090909091,26.129276464145352,25.708068459220126
2021-11,75,21,28.000000000000004,26.835158817086526,26.166454767376102
2021-12,80,25,31.25,29.21969696969697,27.013712306146754
2022-01,71,17,23.943661971830984,27.731220657276996,26.930248560711174
2022-02,75,18,24.0,26.397887323943664,26.616523070515097
2022-03,86,28,32.55813953488372,26.83393383557157,28.02681540263427
2022-04,91,25,27.472527472527474,28.010222335803732,27.87072149654036
2022-05,78,13,16.666666666666664,25.56577789135929,25.981832607651473
2022-06,75,11,14.666666666666666,19.6019536019536,23.217943718762587
2022-07,66,20,30.303030303030305,20.545454545454543,24.27783844062914
2022-08,71,19,26.76056338028169,23.91008678332622,24.737932337342755
2022-09,81,21,25.925925925925924,27.663173203079307,23.632563402516453
2022-10,90,34,37.77777777777778,30.154755694661798,25.35010512005817
2022-11,66,19,28.78787878787879,30.830527497194165,27.370307140260195
2022-12,67,21,31.343283582089555,32.63631338258204,30.149743292830674
2023-01,64,12,18.75,26.293720789989447,28.224238242325622
2023-02,76,25,32.89473684210527,27.662673474731605,29.246600485962887
2023-03,102,34,33.33333333333333,28.326023391812868,30.481168387197453
2023-04,82,27,32.926829268292686,33.05163314791043,29.67267696894994
2023-05,68,17,25.0,30.420054200542,29.041363837636805
2023-06,100,23,23.0,26.975609756097565,27.65081657395521
2023-07,57,20,35.08771929824561,27.69590643274854,30.37376979032948
2023-08,82,19,23.170731707317074,27.086150335187558,28.75310226786478
2023-09,108,27,25.0,27.752817001854226,27.364213378975894
2023-10,81,20,24.691358024691358,24.287363244002808,25.991634838375674
2023-11,121,23,19.00826446280992,22.899874162500424,24.993012248843993
2023-12,68,26,38.23529411764706,27.311638868382776,27.532227935118502
2024-01,75,23,30.666666666666664,29.303408415707878,26.795385829855345
2024-02,61,16,26.229508196721312,31.710489660345008,27.30518191142272
2024-03,66,13,19.696969696969695,25.531048186785892,26.421343527584337
2024-04,60,9,15.0,20.30882596456367,24.806117190135776
2024-05,50,17,34.0,22.898989898989896,27.304739779667457
2024-06,56,19,33.92857142857143,27.642857142857142,26.586952664821514
2024-07,61,14,22.950819672131146,30.293130366900858,25.300978165732264
2024-08,63,16,25.396825396825395,27.42540549917599,25.16219769908294
2024-09,57,17,29.82456140350877,26.05740215748844,26.85012965017279
2024-10,61,23,37.704918032786885,30.975434944373685,30.634282655637275
2024-11,43,8,18.6046511627907,28.71137686636212,28.06839118276905
2024-12,28,8,28.57142857142857,28.293665922335382,27.17553403991191
2025-01,40,12,30.0,25.725359911406425,28.350397427890055
2025-02,24,10,41.66666666666667,33.41269841269841,31.062037639530264
2025-03,50,12,24.0,31.88888888888889,30.091277405612136
2025-04,43,13,30.23255813953488,31.966408268733847,28.845884090070133
2025-05,44,14,31.818181818181817,28.683579985905567,31.04813919930199
2025-06,36,4,11.11111111111111,24.387283689609273,28.138086289249078
