repository,total_gfi,total_issues,overall_ratio,kendall_tau,p_value,trend,p_adjusted,trend_corrected
mui_material-ui,131,6965,1.8808327351040919,-0.06625209354962962,0.5099626402246558,no trend,0.6119551682695868,no trend
pytorch_pytorch,363,31136,1.165853031860226,0.023049645390070924,0.8172456222598552,no trend,0.845426505786057,no trend
microsoft_TypeScript,65,11563,0.5621378534982271,-0.5696940019683036,6.109495180194189e-08,decreasing,9.164242770291283e-07,decreasing
excalidraw_excalidraw,66,2751,2.399127589967285,0.139289643716173,0.18188248707054955,no trend,0.28718287432192036,no trend
bitcoin_bitcoin,41,2338,1.7536355859709154,-0.1710418637320588,0.11272248664407229,no trend,0.21135466245763554,no trend
tensorflow_tensorflow,3,8534,0.03515350363252871,-0.0738321376370816,0.5395009484107989,no trend,0.6225010943201525,no trend
angular_angular,223,6491,3.435526113079649,0.27785199954029877,0.005396520476191628,increasing,0.017988401587305428,increasing
kubernetes_kubernetes,64,8695,0.7360552041403106,-0.23850966389755654,0.02225854257676831,decreasing,0.05136586748484994,no trend
sveltejs_svelte,18,4601,0.39121930015214085,-0.012480658410372209,0.9131647950198761,no trend,0.9131647950198761,no trend
yt-dlp_yt-dlp,155,9152,1.6936188811188813,-0.4817190212420378,2.6931705910880872e-06,decreasing,2.693170591088087e-05,decreasing
rust-lang_rust,376,18740,2.006403415154749,-0.3847517730496454,0.00011459507974862107,decreasing,0.0004911217703512332,decreasing
storybookjs_storybook,160,5862,2.7294438758103037,0.07221291052964689,0.4788476763227577,no trend,0.598559595403447,no trend
ohmyzsh_ohmyzsh,10,1102,0.9074410163339384,-0.1394246699805989,0.22799970437868988,no trend,0.3419995565680348,no trend
JuliaLang_julia,111,6056,1.832892998678996,-0.23351492536143673,0.019785789707148674,decreasing,0.05136586748484994,no trend
microsoft_terminal,67,5287,1.2672593153016833,-0.4769237645082531,5.384909007058146e-06,decreasing,3.230945404234888e-05,decreasing
flutter_flutter,180,51265,0.35111674631815076,0.1411452649421965,0.15753722501866396,no trend,0.2625620416977733,no trend
tauri-apps_tauri,71,5124,1.3856362217017955,-0.1637136198217566,0.10976257438131021,no trend,0.21135466245763554,no trend
electron_electron,13,5596,0.23230879199428162,-0.2631952598426873,0.021338247728993984,decreasing,0.05136586748484994,no trend
fastapi_fastapi,4,1287,0.3108003108003108,0.18403607767292623,0.12616616751431461,no trend,0.22264617796643757,no trend
facebook_react,5,3306,0.1512401693889897,-0.037714451164442865,0.7490695121743015,no trend,0.8025744773296087,no trend
denoland_deno,151,8409,1.7956950885955523,-0.1069534009289023,0.28581286955330065,no trend,0.4083040993618581,no trend
microsoft_PowerToys,35,24607,0.14223594912016907,0.24843481671462309,0.02187548069545754,increasing,0.05136586748484994,no trend
godotengine_godot,136,29010,0.46880386073767666,-0.59748045170512,1.8164250546550365e-08,decreasing,5.44927516396511e-07,decreasing
supabase_supabase,263,4104,6.408382066276803,-0.19032023642273344,0.05887227485298045,no trend,0.12615487468495812,no trend
vercel_next.js,108,13363,0.808201751103794,-0.4776392426538125,4.2876509187945005e-06,decreasing,3.2157381890958754e-05,decreasing
puppeteer_puppeteer,22,2320,0.9482758620689655,0.45420383741775416,3.9407037034566925e-05,increasing,0.0001970351851728346,increasing
microsoft_vscode,175,82707,0.21159031279093668,-0.3431123310682349,0.0005992389990409521,decreasing,0.00224714624640357,decreasing
nodejs_node,135,5907,2.28542407313357,0.08509184032227946,0.39760107775975173,no trend,0.5186101014257631,no trend
ant-design_ant-design,18,10022,0.17960486928756736,0.09696667467888481,0.3963905389837571,no trend,0.5186101014257631,no trend
huggingface_transformers,131,10350,1.2657004830917873,-0.046263638149115556,0.6438138967112847,no trend,0.7153487741236497,no trend
