repository,pr_number,strategy_A_manual,strategy_B,strategy_C_filebased,A_C_agree
denoland_deno,11760,documentation,excluded,documentation,True
electron_electron,33262,documentation,excluded,bug,False
electron_electron,39258,documentation,excluded,feature,False
electron_electron,45392,feature,excluded,feature,True
electron_electron,46094,documentation,excluded,documentation,True
electron_electron,46518,documentation,excluded,documentation,True
godotengine_godot,70386,documentation,excluded,feature,False
huggingface_transformers,29661,bug,excluded,bug,True
kubernetes_kubernetes,118259,bug,excluded,bug,True
kubernetes_kubernetes,128945,bug,excluded,bug,True
mui_material-ui,27723,bug,excluded,bug,True
mui_material-ui,28260,documentation,excluded,documentation,True
mui_material-ui,28700,documentation,excluded,documentation,True
mui_material-ui,28873,documentation,excluded,bug,False
mui_material-ui,29117,documentation,excluded,feature,False
mui_material-ui,29180,documentation,excluded,bug,False
mui_material-ui,36858,documentation,excluded,documentation,True
mui_material-ui,39259,documentation,excluded,documentation,True
mui_material-ui,40303,documentation,excluded,bug,False
mui_material-ui,43067,documentation,excluded,documentation,True
mui_material-ui,43119,documentation,excluded,documentation,True
nodejs_node,41165,documentation,excluded,bug,False
puppeteer_puppeteer,13940,documentation,excluded,documentation,True
pytorch_pytorch,127492,documentation,excluded,feature,False
rust-lang_rust,92443,documentation,excluded,bug,False
rust-lang_rust,103757,documentation,excluded,documentation,True
rust-lang_rust,110905,documentation,excluded,documentation,True
rust-lang_rust,113876,documentation,excluded,bug,False
rust-lang_rust,117027,documentation,excluded,documentation,True
rust-lang_rust,118192,bug,excluded,bug,True
rust-lang_rust,118594,bug,excluded,bug,True
rust-lang_rust,125946,feature,excluded,feature,True
rust-lang_rust,131067,bug,excluded,bug,True
rust-lang_rust,135406,documentation,excluded,bug,False
rust-lang_rust,136798,documentation,excluded,feature,False
rust-lang_rust,140487,documentation,excluded,bug,False
storybookjs_storybook,21773,bug,excluded,bug,True
storybookjs_storybook,21870,bug,excluded,bug,True
storybookjs_storybook,23986,bug,excluded,bug,True
storybookjs_storybook,26236,bug,excluded,bug,True
storybookjs_storybook,26459,bug,excluded,bug,True
storybookjs_storybook,26482,bug,excluded,bug,True
storybookjs_storybook,31320,bug,excluded,bug,True
supabase_supabase,6302,documentation,excluded,bug,False
supabase_supabase,15253,bug,excluded,bug,True
supabase_supabase,15458,feature,excluded,bug,False
supabase_supabase,30120,feature,excluded,bug,False
